CustomerValueSegment,CustomerCount,TotalSpend,AverageSpend,AverageIncome,AverageTotalPurchases,AverageRecency,AverageChildren,SpendShare
High Value,439,695942,1585.2892938496584,75952.15717539864,21.724373576309794,49.82232346241458,0.31662870159453305,0.5201196972890239
Mid Value,665,518174,779.209022556391,62078.29473684211,20.96691729323308,48.96992481203007,0.8736842105263158,0.3872628811352708
Low Value,1101,123926,112.55767484105358,35605.500454132605,8.490463215258856,48.70844686648501,1.24613987284287,0.09261742157570539
